x,y,r,g,b,radius,description
-13.03464897,8.048922641,179,179,0,5,A.01.a. Nervous system patterning and developmental cell death
-12.3385282,9.540342207,179,179,0,5,A.01.b. Proliferation: Self-renewal and cell cycle
-12.41932695,9.516360361,179,179,0,5,A.01.c. Proliferation: Molecular mechanisms
-12.11651193,7.505062028,179,179,0,5,A.01.d. Cell lineage
-11.96269752,7.748913446,179,179,0,5,A.01.e. Mechanisms of cell fate
-11.86594792,8.967893003,179,179,0,5,A.01.f. Cell migration
-11.01988246,8.271382898,179,179,0,8,A.01.g. Neuronal differentiation
-13.40307507,6.542901354,179,179,0,5,A.01.h. Glial differentiation and interaction with neurons
-10.30870939,9.574187446,179,179,0,5,A.02 b. Postnatal neurogenesis: Molecular mechanisms
-9.677458588,9.244093228,179,179,0,5,A.02 c. Postnatal neurogenesis: Environmental and pharmacological regulation
-10.14056996,9.787988301,179,179,0,5,A.02.a. Postnatal neurogenesis: Temporal and spatial patterns
-10.16978052,6.978864389,179,179,0,11,A.03.a. Pluripotent stem cells: Disease models
-11.43334671,6.843509888,179,179,0,7,A.03.b. Pluripotent stem cells: Neural differentiation
-10.86338877,6.19021159,179,179,0,5,A.03.c. Neural lineage reprogramming
-10.86512881,7.002594512,179,179,0,6,A.03.d. Neural stem cells: In vitro studies
-11.88491462,5.55971479,179,179,0,5,A.04.a. Transplantation
-12.74283815,3.068262157,179,179,0,5,A.04.b. Regeneration: PNS
-11.9456399,4.317197382,179,179,0,5,A.04.c. Regeneration: CNS
-8.244919065,4.529261823,179,179,0,5,A.05.a. Axon growth and guidance: Adhesion and cytoskeletal dynamics
-8.759773681,4.461884184,179,179,0,5,A.05.b. Axon growth and guidance: Axonal transport and trafficking
-9.391792083,4.582665018,179,179,0,5,A.05.c. Axon growth and guidance: Extrinsic mechanisms
-7.64560554,4.52141376,179,179,0,5,A.05.d. Dendritic growth and branching
-6.446235887,4.079085044,179,179,0,5,A.06.a. Synapse formation
-6.112743517,3.908075353,179,179,0,5,A.06.b. Synapse maturation and remodeling
-4.920383644,5.413472826,179,179,0,5,A.06.c. Neural circuit maturation and remodeling
-0.949983606,6.761153658,179,179,0,5,A.06.d. Mitochondria and synaptic function
-5.143987503,9.094184419,179,179,0,9,A.07.I. Animal models of developmental disorders other than autism
-3.487303784,10.58598007,179,179,0,5,A.07.a. Autism: Behavioral analysis
-4.5496038,10.40538558,179,179,0,6,A.07.b. Autism: Genetic models
-4.604247661,10.28170177,179,179,0,9,A.07.c. Autism: Synaptic and cellular mechanisms
-3.086626095,9.81524691,179,179,0,5,A.07.d. Autism: Environment and pathology
-3.785134713,10.90934806,179,179,0,8,A.07.e. Autism: Physiology and systems
-7.000208106,9.050950026,179,179,0,5,A.07.f. Rett syndrome
-6.01559866,10.69349166,179,179,0,5,A.07.g. Fragile X
-20.63790578,-3.940444844,179,179,0,5,A.07.h. Down syndrome
-6.281654613,9.608068576,179,179,0,5,A.07.i. Angelman and other developmental disorders
2.216944218,10.57265459,179,179,0,5,"A.07.j. ADHD, SLI, dyslexia and other specific disorders of neurobehavior"
-4.007499256,9.639801266,179,179,0,10,A.07.k. Animal models of autism
-5.687451858,9.023205608,179,179,0,8,A.07.m. Molecular Mechanisms
-5.357616354,6.925527405,179,179,0,5,A.08.a. Motor systems
-4.526953259,5.643822027,179,179,0,5,A.08.b. Sensory systems
-4.249422716,6.732734377,179,179,0,5,A.08.c. Limbic system
4.052980189,10.75156045,179,179,0,5,A.09.a. Animal models
4.237957318,11.93360143,179,179,0,5,A.09.b. Human imaging
4.113493913,10.95714352,179,179,0,5,A.09.c. Mechanisms of vulnerability
-7.607906164,13.34334844,179,179,0,5,A.10.a. Comparative anatomy
-7.633176813,13.30956048,179,179,0,5,A.10.b. Comparative cellular and molecular mechanisms
-1.530654843,-0.631578813,255,0,255,5,B.01.a. Glutamate
0.508029018,12.38509131,255,0,255,7,B.01.b. Monoamines
0.224243337,0.372622442,255,0,255,5,B.01.c. Amino acids and other small-molecule neurotransmitters and messengers
0.338005458,13.80232477,255,0,255,5,"B.01.d. Opiates, cytokines, and other neuropeptides"
-3.575269694,2.368666027,255,0,255,5,B.01.e. Neurotrophins
-17.73134862,4.937317616,255,0,255,5,B.01.f. Comparative neurotransmitters
-2.902289812,-3.949118966,255,0,255,5,B.02.a. Nicotinic acetylcholine receptors in brain: Physiology and function
-2.895795715,-3.938008966,255,0,255,5,B.02.b. Nicotinic acetylcholine receptors: Structure and regulation
1.218089758,2.527883892,255,0,255,5,B.02.c. NMDA receptors
1.308130686,2.405276891,255,0,255,5,B.02.d. Non-NMDA receptors
-2.063051021,1.232615271,255,0,255,5,B.02.e. GABA(A) receptors
-2.117167895,0.910616764,255,0,255,5,B.02.f. Glycine receptors & other ligand gated ion channels
-1.96257701,2.447548001,255,0,255,5,B.03.a. Metabotropic glutamate and GABA B receptors
0.666608449,14.57744632,255,0,255,5,B.03.b. Peptide receptors
-0.798855401,2.084603283,255,0,255,5,B.03.c. Other metabotropic receptors
-10.91510618,13.71318946,255,0,255,5,B.04.a. Sodium channels
-3.28425011,-0.272082751,255,0,255,5,B.04.b. Calcium channels
-4.303734953,-0.311615246,255,0,255,5,B.04.c. Potassium channels
-12.35859154,15.65453463,255,0,255,5,B.04.d. Non-selective cation channels
-12.47354487,15.75364229,255,0,255,5,B.04.e. Mechanosensitive and other ion channels
-0.62727874,-2.00139364,255,0,255,5,"B.05.a. Vesicle docking, fusion, recycling, biogenesis"
-0.462398304,-1.684843843,255,0,255,5,B.05.b. Presynaptic organization and structure
1.49554034,0.851323169,255,0,255,5,B.06.a. Postsynaptic organization and structure
2.27724162,-1.292037831,255,0,255,5,B.06.b. Synaptic integration
1.576663418,-1.805428089,255,0,255,5,B.06.c. Electrical synapses and gap junctions
1.081656223,-0.795510821,255,0,255,5,B.06.d. Modulation: Peptides and amines
-0.776671727,0.66848865,255,0,255,5,"B.06.e. Modulation: ACh, amino acids and GABA"
-0.525619629,-0.064351435,255,0,255,5,B.06.f. Modulation: Mechanisms of action
-1.212470663,0.261092381,255,0,255,5,B.06.g. Modulation: Pharmacology
0.754358764,0.263985369,255,0,255,5,B.07.a. Short-term plasticity
2.107360602,1.47375338,255,0,255,5,B.07.b. LTP: Kinases and intracellular signaling
2.569580652,0.838381976,255,0,255,6,B.07.c. LTP: Pre- and Postsynaptic mechanisms
4.082172323,0.356881838,255,0,255,5,B.07.d. Long-term depression (LTD)
2.845805006,-1.551759461,255,0,255,5,B.07.e. Spike-timing dependent plasticity
3.84470367,-0.448338096,255,0,255,8,B.07.f. Homeostatic plasticity
2.767807718,0.054124962,255,0,255,10,B.07.g. Structural plasticity
3.420072997,1.895476317,255,0,255,5,B.07.h. Transcription and translation in plasticity
1.67955862,-0.258083593,255,0,255,6,B.07.i. Other
1.860342139,-2.812486286,255,0,255,5,"B.08.a. Neural oscillators, dendritic properties and plasticity"
0.994079749,-3.013914079,255,0,255,7,B.08.b. Modulation of neuronal firing properties
6.215268509,-4.521968663,255,0,255,5,B.09.a. Signal propagation
7.190405615,-4.799434021,255,0,255,5,B.09.b. Oscillations and synchrony: Unit studies
8.198880292,-4.872566673,255,0,255,9,B.09.c. Oscillations and synchrony: EEG studies
7.766599851,-4.84677606,255,0,255,9,B.09.d. Oscillations and synchrony: LFP studies
6.534685727,-4.886480478,255,0,255,6,B.09.e. Network interactions: Other
-6.496614144,-1.690977014,255,0,255,5,B.10.a. Genetics
-4.937078232,-0.570612838,255,0,255,5,B.10.b. Channels
-6.77216756,-2.347134163,255,0,255,5,B.10.c. Synaptic mechanisms
-7.669391701,-2.515875037,255,0,255,5,B.10.d. Networks
-7.086096342,-1.995629239,255,0,255,5,B.10.e. Post-seizure modifications
-7.489493229,-1.916348512,255,0,255,5,B.10.f. In vivo and behavior
-6.981577787,-1.01473495,255,0,255,9,B.10.g. Animal Models
-7.485674175,-0.95932629,255,0,255,6,B.10.h. Anticonvulsant and antiepileptic therapies
-8.155737839,-1.367511269,255,0,255,5,B.10.i. Human Studies
-18.49688025,3.866991357,255,0,255,9,B.11.a. Astrocytes: Biology
-18.3397943,3.173592729,255,0,255,10,B.11.b. Astrocytes: Disease mechanisms
-18.77205401,1.702434032,255,0,255,6,B.11.c. Microglia: Biology
